UC; Descrição
UC_ALN_001_01_01.Pesquisar_Aluno;Este caso de uso tem como objetivo pesquisar os alunos.
UC_ALN_001_01_02.Manter_Aluno;Este caso de uso tem como objetivo alterar alunos.
UC_ALN_001_01_02.Permitir_Alterar_CPF;Permite incluir/alterar o seguinte dado da pessoa-atuação:  - Nome Social    Permite alterar os seguintes dados da pessoa-atuação:  - CPF  - Data de Nascimento  - Nacionalidade  - País de Origem  - Filiação      Quando os campos estiverem desabilitados, exibir a seguinte mensagem em um ícone informativo:  <i> "Somente o Administrador Acadêmico do Sistema pode alterar este campo."</i>
UC_ALN_001_01_03.Importar_Aluno;Este caso de uso tem como objetivo importar os alunos do SGA legado.
UC_ALN_001_02_02.Visualizar_Dados_Matricula;Este caso de uso tem como objetivo visualizar os dados de matrícula do Aluno.
UC_ALN_001_03_01.Pesquisar_Vinculo;Este caso de uso tem como objetivo pesquisar os vínculos de uma pessoa-atuação, permitindo também a exclusão.
UC_ALN_001_03_02.Manter_Vinculo;Este caso de uso tem como objetivo cadastrar ou alterar os vínculos de uma pessoa-atuação.
UC_ALN_001_04_01.Associar_Formacao_Especifica_Aluno;Este caso de uso tem como objetivo a associação de formação específia ao aluno.
UC_ALN_001_06_01.Exibir_Relatorio_Identidade_Estudantil;Esse caso de uso tem como objetivo a emissão do relatório de identidade estudantil.
UC_ALN_001_08_01.Emissao_Declaracoes_Genericas_Alunos_CRA;Permite a emissão de declarações genéricas de alunos gerenciadas pelo Centro de Registros Acadêmicos (CRA).
UC_ALN_001_08_01.Emissao_Declaracoes_Genericas_Alunos_PROPPg;Permite a emissão de declarações genéricas de alunos gerenciadas pelos Programas de Pós-graduação.
UC_ALN_001_08_01.Emissao_Declaracoes_Genericas_Alunos_Secretarias_Coreu;Permite a emissão de declarações genéricas de alunos gerenciadas pelas secretarias acadêmicas do Campus Coração Eucarístico
UC_ALN_001_08_01.Pesquisar_Aluno_Relatorio;Este caso de uso tem como objetivo a pesquisa de alunos para a emissão de relatórios.    Relatórios disponíveis:  <ul>   <li>Declaração de disciplinas cursadas</li>   <li>Declaração de matrícula</li>   <li>Declaração genérica</li>   <li>Identidade estudantil</li>   <li>Histórico escolar</li>   <li>Histórico escolar interno</li>   <li>Listagem de alunos</li>  </ul>
UC_ALN_001_08_02.Informar_Tags_Declaracao_Generica;Este caso de uso tem como objetivo o preenchimento e conferência de informações das tags utilizadas no tipo de declaração genérica sendo emitido.
UC_ALN_001_09_01.Cancelar_matricula;Este caso de uso tem como objetivo cancelar um aluno por descumprimento de normas do curso.
