UC; Descrição
UC_APR_001_01_01.Pesquisar_Avaliacao_Turma;Esse caso de uso tem como objetivo a pesquisa das avaliações/trabalhos cadastrados para uma origem de avaliação.
UC_APR_001_01_02.Manter_Avaliacao_Turma;Esse caso de uso tem como objetivo a inclusão/alteração de uma avaliação/trabalho para uma origem de avaliação.
UC_APR_001_02_01.Pesquisar_Avaliacao_Curso;Esse caso de uso tem como objetivo o cadastro de avaliações gerais para um curso.
UC_APR_001_02_02.Manter_Avaliacao_Curso;Este caso de uso tem como objetivo a inclusão/alteração de avaliações gerais por curso.
UC_APR_001_03_01.Pesquisar_Escala_Apuracao;Este caso de uso tem como objetivo consultar as escalas de apuração, permitindo também a exclusão.
UC_APR_001_03_02.Manter_Escala_Apuracao;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma escala de apuração e de seus itens.
UC_APR_001_04_01.Pesquisar_Criterio_Aprovacao;Este caso de uso tem como objetivo consultar os critérios de aprovação, permitindo também a exclusão.
UC_APR_001_04_02.Manter_Criterio_Aprovacao;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um critério de aprovação.
UC_APR_001_05_01.Lancamento_Nota;Este caso de uso tem como objetivo o lançamento de notas em avaliações de uma origem avaliação.
UC_APR_001_05_02.Comentario_Apuracao;Tela chamada para incluir comentário no lançamento de nota por aluno
UC_APR_001_07_01.Entrega_Online;Esse caso de uso tem como objetivo a entrega de uma avaliação de forma online.
UC_APR_001_08_01.Correcao_Entrega_Online;Esse caso de uso tem como objetivo a correção de entrega de avaliação realizada online.
UC_APR_001_09_01.Historico_Situacao_Entrega_Online;Este caso de uso tem como objetivo listar o histórico de alterações de situação da entrega online de uma avaliação feita por um ou mais alunos.
UC_APR_001_11_01.Pesquisar_Bancas_Agendadas_Periodo;Esse caso de uso tem como objetivo disponibilizar campos de filtro para gerar relatório de bancas examinadoras por período.    
UC_APR_001_11_02.Exibir_Relatorio_Bancas_Agendadas_Periodo;Esse caso de uso tem como objetivo exibir o relatório de bancas examinadoras por período.    
UC_APR_001_12_01.Consulta_Nota_Frequencia;Esse caso de uso tem como objetivo a consulta de notas e frequencia final de um aluno.
UC_APR_001_13_01.Consultar_Avaliacao;Esse caso de uso tem como objetivo a consulta de avaliações agendadas para uma turma e suas divisões. Também permite a consulta de notas e faltas para a turma.
UC_APR_001_15_01.Lancamento_Nota_Frequencia_Final;Este caso de uso tem como objetivo cadastrar ou alterar notas e frequências para alunos de uma turma.
UC_APR_001_17_01.Exibir_Relatorio_Acompanhamento_Nota;Este caso de uso tem como objetivo a geração de relatório de acompanhamento de notas e faltas para uma turma / divisão de turma.
UC_APR_002_02_01.Exibir_Relatorio_Diario_Turma;Esse caso de uso tem como objetivo exibir o relatório de diário de turma.    
UC_APR_002_03_01.Exibir_Relatorio_Historico_Escolar;Esse caso de uso tem como objetivo a emissão de relatório de histórico escolar.
UC_APR_002_05_01.Exibir_Relatorio_Historico_Escolar_Interno;Esse caso de uso tem como objetivo a emissão de relatório de histórico escolar interno (para conferencia).
UC_APR_002_07_01.Exibir_Relatorio_Declaracao_Disciplinas_Cursadas;Este caso de uso tem como objetivo exibir o relatório de Declaração de Componentes Curriculares Cursados.
UC_APR_002_08_01.Pesquisar_Historico_Escolar;Este caso de uso tem como objetivo consultar o histórico escolar de um aluno, permitindo também a exclusão da associação de componentes curricular.
UC_APR_002_08_02.Manter_Historico_Escolar;Este caso de uso tem como objetivo associar componentes curriculares a um histórico escolar.
UC_APR_002_08_02.Permitir_manter_todos_tipos_componentes;Permitir inclusão e manutenção de todos os tipos de componentes
UC_APR_003_01_01.Manter_Escala_Apuracao_Instituicao_Nivel;Este caso de uso tem como objetivo, consultar, cadastrar ou alterar a parametrização de uma escala de apuração por Instituição e nível de ensino, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão).
UC_APR_003_02_01.Manter_Criterio_Aprovacao_Instituicao_Nivel;Este caso de uso tem como objetivo, consultar, cadastrar ou alterar a parametrização de um critério de aprovação por Instituição e nível de ensino, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão).
UC_APR_003_03_01.Manter_Tipo_Origem_Avaliacao_Instituicao_Nivel;Este caso de uso tem como objetivo, consultar, cadastrar ou alterar a parametrização de um tipo de origem de avaliação por instituição e nível de ensino, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão).
UC_APR_003_04_01.Manter_Tipo_Membro_Banca_Instituicao_Nivel;Este caso de uso tem como objetivo manter a parametrização de tipos de Membro de Banca por Instituição Nível, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_APR_004_01_01.Pesquisar_Material;Este caso de uso tem como objetivo consultar pastas e materiais (arquivos ou links), permitindo também sua alteração e exclusão.
UC_APR_004_01_02.Manter_Material;Este caso de uso tem como objetivo alterar os dados de um material (pasta, arquivo e link).
UC_APR_004_02_01.Download_Material;Esse caso de uso tem como objetivo a exibição dos materiais de uma origem permitindo sua visualização e download.
UC_APR_006_01_01.Pesquisar_Lancamento_Frequencia;Esse caso de uso tem como objetivo a pesquisa de aulas para lançamento de frequencia.
