UC; Descrição
UC_CAM_001_01_01.Pesquisar_Campanha;Este caso de uso tem como objetivo pesquisar as campanhas, permitindo também a exclusão.
UC_CAM_001_01_02.Manter_Campanha;Este caso de uso tem como objetivo cadastrar e alterar os dados de uma campanha.
UC_CAM_001_01_03.Pesquisar_Oferta_Campanha;Este caso de uso tem como objetivo pesquisar as ofertas associadas a uma campanha, permitindo também a exclusão.
UC_CAM_001_01_04.Associar_Oferta_Campanha;Este caso de uso tem como objetivo associar e desassociar em lote ofertas de uma campanha.
UC_CAM_001_01_04.Manter_Associacao_Oferta_Campanha;ESTE CASO DE USO DEVERÁ SER IMPLEMENTADO SOMENTE PARA A GRADUAÇÃO.  ELE DEVERÁ SER REVISADO  Este caso de uso tem como objetivo vincular outros itens a um item de campanha associado previamente, para que sejam ofertados de forma agrupada, em um único item. Também permite desvincular um item que tenha sido associado de forma agrupada.
UC_CAM_001_01_05.Configurar_Vagas_Ofertas_Campanha;Este caso de uso tem como objetivo configurar as vagas das ofertas associdas à campanha.
UC_CAM_001_01_06.Copiar_Campanha;Este caso de uso tem como objetivo copiar uma campanha.
UC_CAM_001_02_01.Pesquisar_Processo_Seletivo;Este caso de uso tem como objetivo pesquisar os processos seletivos, permitindo também a exclusão.
UC_CAM_001_02_02.Manter_Processo_Seletivo;Este caso de uso tem como objetivo cadastrar e alterar os dados de um processo seletivo.
UC_CAM_001_02_03.Pesquisar_Oferta_Processo_Seletivo;Este caso de uso tem como objetivo pesquisar as ofertas de um processo seletivo, permitindo também a exclusão.
UC_CAM_001_02_04.Associar_Oferta_Processo_Seletivo;Este caso de uso tem como objetivo associar e desassociar em lote ofertas de um processo seletivo.
UC_CAM_001_02_05.Configurar_Vagas_Ofertas_Processo_Seletivo;Este caso de uso tem como objetivo configurar as vagas das ofertas associdas ao processo seletivo.
UC_CAM_001_03_01.Consultar_Candidato;Esse caso de uso tem como objetivo permitir a consulta dos dados dos candidatos.
UC_CAM_001_04_01.Consultar_Posicao_Consolidada;Esse caso de uso tem como objetivo consultar a posição consolidada dos candidatos.
UC_CAM_001_05_01.Pesquisar_Convocacao;Este caso de uso tem como objetivo pesquisar as convocações e suas respectivas chamadas, permitindo também a exclusão.
UC_CAM_001_05_02.Manter_Convocacao;Este caso de uso tem como objetivo cadastrar e alterar os dados de uma convocação e de suas respectivas chamadas.
UC_CAM_001_05_03.Pesquisar_Oferta_Convocacao;Este caso de uso tem como objetivo pesquisar as ofertas de uma convocação, permitindo também a exclusão.
UC_CAM_001_05_04.Associar_Oferta_Convocacao;Este caso de uso tem como objetivo associar e desassociar em lote ofertas de uma convocação.
UC_CAM_001_05_05.Configurar_Vagas_Ofertas_Convocacao;Este caso de uso tem como objetivo configurar as vagas das ofertas associdas à convocação.
UC_CAM_001_05_06.Pesquisar_Convocacao_Execentes;Este caso de uso tem como objetivo cosultar e selecionar candidatos excedentes para a convocação.
UC_CAM_001_05_07.Pesquisar_Convocacao_Execentes;Esse caso de uso tem como objetivo convocar um candidato.
UC_CAM_001_05_08.Visualizar_Impedimentos;Esse caso de uso tem como objetivo visualizar os impedimentos para liberação de matrícula.
UC_CAM_001_06_01.Pesquisar_Tipo_Oferta;Este caso de uso tem como objetivo pesquisar os tipos de oferta, permitindo também a exclusão.
UC_CAM_001_06_02.Manter_Tipo_Oferta;Este caso de uso tem como objetivo cadastrar e alterar os dados de um tipo de oferta.
UC_CAM_001_07_01.Pesquisar_Tipo_Processo_Seletivo;Este caso de uso tem como objetivo pesquisar os tipos de processo seletivo, permitindo também a exclusão.
UC_CAM_001_07_02.Manter_Tipo_Processo_Seletivo;Este caso de uso tem como objetivo cadastrar e alterar os dados de um tipo de processo seletivo.
