UC; Descrição
UC_CSO_001_01_01.Pesquisar_Curso;Este caso de uso tem como objetivo consultar os cursos de uma instituição de ensino, permitindo também a exclusão.
UC_CSO_001_01_02.Manter_Curso;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um curso.
UC_CSO_001_01_03.Manter_Oferta_Curso;Este caso de uso tem como objetivo cadastrar ou alterar os dados da oferta de curso de um curso.     
UC_CSO_001_01_04.Pesquisar_Formacao_Especifica_Curso;Este caso de uso tem como objetivo pesquisar as formações específicas de um curso.
UC_CSO_001_01_05.Manter_Formacao_Especifica_Curso;Este caso de uso tem como objetivo manter as formações específicas de um curso.
UC_CSO_001_01_06.Replicar_Formacao_Especifica_Curso;Este caso de uso tem como objetivo replicar as formações específicas de um curso.
UC_CSO_001_02_01.Pesquisar_Associacao_Curso_Unidade;Este caso de uso tem como objetivo consultar as associações dos cursos às unidades, localidades e modalidades de uma instituição de ensino, permitindo também a exclusão desta associação.
UC_CSO_001_02_02.Manter_Associacao_Curso_Unidade;Este caso de uso tem como objetivo cadastrar ou alterar os dados da associação curso unidade.
UC_CSO_001_02_03.Manter_Curso_Oferta_Localidade;Este caso de uso tem como objetivo cadastrar ou alterar os dados da oferta de curso por localidade.
UC_CSO_001_02_03.Permitir_Alteracao_Curso_Oferta_Localidade;Se usuário não tiver acesso a esse token restringir a alteração de todos os campos do cadastro de curso-oferta-localidade, ou seja, exibir os campos/comandos como "somente leitura". Exceto os campos:    <u>Aba Dados Gerais</u>  <ul>   <li>Código órgão regulador</li>   <li>Código habilitação</li>  </ul>    <u>Aba Dados de Contato</u>  <ul>   <li>Todos os campos de Endereço</li>   <li>Todos os campos de Endereço Eletrônico</li>   <li>Todos os campos de Telefones</li>  </ul>
UC_CSO_001_02_04.Associar_Matriz_Curso_Oferta_Localidade;Este caso de uso tem como objetivo cadastrar ou alterar os dados da oferta de curso por localidade.
UC_CSO_001_03_01.Pesquisar_Grau_Academico;Este caso de uso tem como objetivo consultar os graus acadêmicos, permitindo também a exclusão.
UC_CSO_001_03_02.Manter_Grau_Academico;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um grau acadêmico.
UC_CSO_001_04_01.Pesquisar_Hierarquia_Classificacao;Este caso de uso tem como objetivo consultar as hierarquias de classificação, permitindo também a exclusão.
UC_CSO_001_04_02.Manter_Hierarquia_Classificacao;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma hierarquia de classificação.
