UC; Descrição
UC_CUR_001_01_01.Pesquisar_Curriculo;Este caso de uso tem como objetivo consultar os currículos e suas ofertas de curso, permitindo também a exclusão.
UC_CUR_001_01_02.Manter_Curriculo;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um currículo.
UC_CUR_001_01_03.Pesquisar_Grupo_Curricular;Este caso de uso tem como objetivo consultar os grupos curriculares de um currículo, permitindo também a exclusão dos grupos curriculares e dos componentes curriculares.
UC_CUR_001_01_04.Manter_Grupo_Curricular;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um grupo curricular.
UC_CUR_001_01_05.Pesquisar_Associacao_Grupo_Curricular_Oferta_Curso;Este caso de uso tem como objetivo consultar os grupos curriculares associados a uma oferta de curso, associar novos grupos,  permitindo também a exclusão de associações.
UC_CUR_001_01_06.Associar_Grupo_Curricular_Oferta_Curso;Este caso de uso tem como objetivo associar grupos curriculares a uma oferta de curso.
UC_CUR_001_01_07.Associar_Componente_Curricular_Grupo;Este caso de uso tem como objetivo associar componente curricular ao grupo selecionado.
UC_CUR_001_02_01.Pesquisar_Divisao_Curricular;Este caso de uso tem como objetivo consultar as divisões curriculares, permitindo também a exclusão das mesmas.
UC_CUR_001_02_02.Manter_Divisao_Curricular;Este caso de uso tem como objetivo cadastrar ou alterar os dados da divisão e dos itens de divisão curricular.
UC_CUR_001_03_01.Manter_Tipo_Divisao_Curricular;Este caso de uso tem como objetivo manter o cadastro de tipo de divisão curricular, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_CUR_001_04_01.Manter_Tipo_Grupo_Curricular;Este caso de uso tem como objetivo manter o cadastro de tipo de grupo curricular, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão) e também a associação/desassociação de tipos de componente a um grupo.    É um cadastro dynamic.
UC_CUR_001_05_01.Pesquisar_Matriz_Curricular;Este caso de uso tem como objetivo consultar as matrizes curriculares de uma oferta de curso, permitindo também a exclusão de matrizes.
UC_CUR_001_05_02.Manter_Matriz_Curricular;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma matriz curricular.
UC_CUR_001_05_03.Manter_Historico_Situacao_Matriz_Curricular;Este caso de uso tem como objetivo permitir  a inclusão e a alteração de situações de uma matriz curricular.
UC_CUR_001_05_04.Pesquisar_Configuracao_Grupo_Matriz;Este caso de uso tem como objetivo consultar as configurações de um grupo curricular de uma matriz, permitindo também a exclusão de configuração de um grupo.
UC_CUR_001_05_05.Manter_Configuracao_Grupo_Matriz;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma configuração de um grupo curricular de uma matriz.
UC_CUR_001_05_06.Pesquisar_Configuracao_Componente_Matriz;Este caso de uso tem como objetivo consultar as configurações de um componente curricular de uma matriz.
UC_CUR_001_05_07.Configurar_Componente_Matriz;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma configuração de um componente curricular de uma matriz.
UC_CUR_001_05_08.Exclusao_Assunto_Componente_Matriz;Permite a exclusão de assunto de componente na matriz curricular.
UC_CUR_001_05_08.Pesquisar_Assunto_Componente_Matriz;Listar os assuntos associadas a configuração de componente curricular na matriz
UC_CUR_001_05_09.Manter_Assunto_Componente_Matriz;Associar os assuntos à configuração de componente curricular na matriz
UC_CUR_001_06_01.Consulta_Divisoes_Matriz_Curricular;Este caso de uso tem como objetivo consultar as divisões de uma matriz curricular.
UC_CUR_001_07_01.Pesquisar_Matriz_Curricular;Este caso de uso tem como objetivo pesquisar matrizes curriculares para geração de relatórios.
UC_CUR_001_07_02.Exibir_Relatorio_Matriz_Curricular;Este caso de uso tem como objetivo gerar relatórios de matrizes curriculares.
UC_CUR_001_08_01.Manter_Tipo_Configuracao_Grupo_Curricular;Esse caso de uso tem como objetivo o cadastro de tipos de configuração de grupo curricular.
UC_CUR_001_09_01.Manter_Condicao_Obrigatoriedade;Este caso de uso tem como objetivo manter o cadastro de condição de obrigatoriedade, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_CUR_002_01_01.Pesquisar_Componente_Curricular;Este caso de uso tem como objetivo consultar os componentes curriculares, permitindo também a exclusão.
UC_CUR_002_01_02.Manter_Componente_Curricular;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um componente curricular.
UC_CUR_002_01_03.Pesquisar_Configuracao_Componente_Curricular;Este caso de uso tem como objetivo consultar as configurações de um componente curricular, permitindo também a exclusão.
UC_CUR_002_01_04.Manter_Configuracao_Componente_Curricular;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma configuração do componente curricular.
UC_CUR_002_02_01.Pesquisar_Tipo_Componente_Curricular;Este caso de uso tem como objetivo consultar os tipos de componente curricular e seus tipos de divisões, permitindo também a exclusão.
UC_CUR_002_02_02.Manter_Tipo_Componente_Curricular;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um tipo de componente curricular.
UC_CUR_002_03_01.Visualizar_Detalhes_Componente_Curricular;Este caso de uso tem como objetivo consultar os detalhes de um componente curricular.
UC_CUR_002_04_01.Pesquisar_Grupo_Configuracao_Componente;Este caso de uso tem como objetivo consultar os grupos de configuração de componente curricular, permitindo também a exclusão.
UC_CUR_002_04_02.Manter_Grupo_Configuracao_Componente;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um grupo de configuração de componente curricular.
UC_CUR_002_06_01.Pesquisar_Periodico_Capes;Este caso de uso tem como objetivo consultar os periódicos CAPES importados.
UC_CUR_002_06_02.Importar_Arquivo_Classificacao;Este caso de uso tem como objetivo importar os periódicos CAPES
UC_CUR_002_06_03.Manter_Periodico_Capes;Este caso de uso tem como objetivo a manutenção de periódicos CAPES.
UC_CUR_003_01_01.Pesquisar_Requisito;Este caso de uso tem como objetivo pesquisar os requisitos de um componente ou divisão, considerando uma matriz curricular.
UC_CUR_003_01_02.Manter_Requisito;Este caso de uso tem como objetivo criar e alterar os requisitos de um componente ou divisão.  
UC_CUR_003_02_01.Pesquisar_Dispensa;Esse caso de uso tem como objetivo a pesquisa de dispensas, permitindo também sua exclusão.
UC_CUR_003_02_02. Manter_Dispensa;Esse caso de uso tem como objetivo o cadastro (inclusão e alteração) de dispensas.
UC_CUR_003_02_03.Associar_Matriz_Dispensa_Componente;Esse caso de uso tem como objetivo a associação de matrizes como exceção de uma dispensa.
UC_CUR_004_01_01.Pesquisar_Tipo_Componente_Instituicao_Nivel_Ensino;Este caso de uso tem como objetivo pesquisar uma associação de tipo de componente curricular a um nível de ensino permitindo também a exclusão de associação.
UC_CUR_004_01_02.Manter_Tipo_Componente_Instituicao_Nivel_Ensino;Este caso de uso tem como objetivo  cadastrar ou alterar uma associação de tipo de componente curricular a um nível de ensino.
UC_CUR_004_02_01.Manter_Tipo_Divisao_Curricular_Instituicao_Nivel_Ensino;Este caso de uso tem como objetivo manter o cadastro dos tipos de divisões curriculares de um nível de ensino, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro e exclusão).
UC_CUR_004_03_01.Manter_Tipo_Grupo_Curricular_Instituicao_Nivel_Ensino;Este caso de uso tem como objetivo manter o cadastro dos tipos de grupos curriculares de um nível de ensino, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro e exclusão).  
UC_CUR_004_04_01.Manter_Condicao_Obrigatoriedade_Instituicao_Nivel_Ensino;Este caso de uso tem como objetivo manter o cadastro de condições de obrigatoriedade por um nível de ensino, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro e exclusão).
