UC; Descrição
UC_DCT_001_03_01.Manter_Tipo_Vinculo Colaborador;Este caso de uso tem como objetivo manter o cadastro de tipos de vínculos de um colaborador, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_DCT_001_04_01.Manter_Categoria_Instituicao_Ensino;Este caso de uso tem como objetivo manter o cadastro de categorias de instituições de ensino, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_DCT_001_05_01.Manter_Instituicao_Externa;Este caso de uso tem como objetivo manter o cadastro de instituições de ensino ou pesquisa externas, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_DCT_001_06_01.Pesquisar_Colaborador;Este caso de uso tem como objetivo consultar os colaboradores permitindo também a exclusão.
UC_DCT_001_06_02.Manter_Colaborador;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um professor/pesquisador.
UC_DCT_001_06_02.Permitir_Alterar_Dados_Colaborador;Permite alterar os dados pessoais e de contato do Colaborador.
UC_DCT_001_06_02.Permitir_Selecionar_Tipo_Vinculo;Usuários que tem permissão a este token poderá visualizar todos os tipos de vinculos parametrizados para a instituição logada e tipo da entidade selecionada.
UC_DCT_001_06_03.Pesquisar_Vinculo_Colaborador;Este caso de uso tem como objetivo consultar os vínculos de um colaborador, permitindo também a exclusão.
UC_DCT_001_06_04.Manter_Vinculo_Colaborador;Este caso de uso tem como objetivo cadastrar ou alterar os dados do vínculo de um colaborador.
UC_DCT_001_06_04.PermitirAlterarDataFimVinculo;<font color="#000080">Permite alterar a data fim do vinculo dos docentes que estão com situação de demitido e afastado.
UC_DCT_001_06_05.Associar_Oferta_Curso_Tipo_Atividade;Esse caso de uso tem como objetivo a associação de oferta de curso e tipo de atividade ao colaborador.
UC_DCT_001_07_01.Central_Relatorios_Colaborador;Este caso de uso tem como objetivo realizar o filtro para relatório de atualização de vinculo do colaborador.
UC_DCT_001_07_02.Emitir_Relatorio_Log_Atualizacao_Colaborador;<ul>   <li>Este caso de uso tem como objetivo exibir o log com as atualizações de vinculo do docente.</li>  </ul>
UC_DCT_001_07_03.Emitir_Certificado_Pos_Doutor;Emissão do certificado de cumprimento do estágio pós-doutoral dos colaboradores que possuem vínculo de pós-doutor.
UC_DCT_001_08_01.Pesquisar_Componente_Apto_Lecionar;Tem como objetivo pesquisar os componentes para os quais o professor/pesquisador esta apto a lecionar.
UC_DCT_001_08_02.Associar_Componente_Apto_Lecionar;Permite associar os componentes que o professor/pesquisador esteja apto a lecionar.
UC_DCT_002_01_01.Manter_Tipo_Vinculo_Colaborador_Instituicao_Tipo_Entidade;Este caso de uso tem como objetivo manter a associação dos tipos de vínculo de colaborador ao tipo de entidade da Instituição de Ensino logada, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão).
UC_DCT_002_02_01.Manter_Tipo_Atividade_Colaborador_Instituicao_Nivel;Este caso de uso tem como objetivo manter o cadastro dos tipos de atividade de colaborador de um nível de ensino de uma instituição, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão).
UC_DCT_003_01_01.Home_Portal_Professor;Esse caso de uso tem como objetivo apresentar a página Home do Portal do Professor.
