UC; Descrição
UC_FIN_001_01_01.Manter_Tipo_Beneficio;Este caso de uso tem como objetivo manter o cadastro de tipo de benefício, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.    
UC_FIN_001_02_01.Pesquisar_Beneficio;Este caso de uso tem como objetivo pesquisar os benefícios, permitindo também a exclusão.    
UC_FIN_001_02_02.Manter_Beneficio;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um benefício.  
UC_FIN_001_03_01.Pesquisar_Associacao_Beneficio_Pessoa_Atuacao;Este caso de uso tem como objetivo pesquisar os benefícios associados a uma pessoa atuação, permitindo também a exclusão.
UC_FIN_001_03_02.Associar_Beneficio_Pessoa_Atuacao;Este caso de uso tem como objetivo associar benefícios a uma pessoa atuação.
UC_FIN_001_03_02.Chancela_Setor_Financeiro;Este token permite:  - Habilitar o campo SOMENTE quando o benefício for de um tipo de benefício configurado com o campo "Chancela setor bolsas" igual a "Não".
UC_FIN_001_03_02.Permite_Alterar_Chancela_Beneficio;Este token permite:  - Habilitar o campo SOMENTE quando o benefício for de um tipo de benefício configurado com o campo "Chancela setor bolsas" igual a "Sim".
UC_FIN_001_03_03.Consultar_Benefício_Pessoa_atuacao;Este caso de uso tem como objetivo consultar todos os dados de uma benefício que está associado à uma pessoa-atuação.
UC_FIN_001_03_04.Alterar_Vigencia_Benefício;Este caso de uso tem como objetivo alterar a vigência de um benefício
UC_FIN_001_05_01.Pesquisar_Pessoa_Juridica;Este caso de uso tem como objetivo pesquisar as pessoas jurídicas, permitindo também a exclusão.    
UC_FIN_001_05_02.Manter_Pessoa_Juridica;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma pessoa jurídica.  
UC_FIN_001_06_01.Exibicao_filtros_informacoes_financeiras;Este token tem como obejtivo exibir os campos "Exibir parcelas em aberto" e "Exibir referência do contrato no sistema financeiro", no relatório de alunos bolsistas.
UC_FIN_001_06_01.Pesquisar_Alunos_Relatorio_Benefício;Este caso de uso tem como objetivo realizar o filtro para relatório de bolsistas.
UC_FIN_001_06_02.Exibir_Relatorio_Alunos_Bolsistas;Este caso de uso tem como objetivo exibir o relatório de alunos bolsistas.
UC_FIN_001_07_01.Manter_Motivo_Alteracao_Beneficio;Este caso de uso tem como objetivo manter o cadastro dos motivos de alterações do benefício, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_FIN_002_02_01.Pesquisar_Contrato;Este caso de uso tem como objetivo pesquisar os contratos, permitindo também a exclusão.
UC_FIN_002_02_02.Manter_Contrato;Este caso de uso tem como objetivo cadastrar ou alterar contratos.
UC_FIN_002_02_03.Pesquisar_Termo_Adesao;Este caso de uso tem como objetivo pesquisar os termos de adesão, permitindo também a exclusão.
UC_FIN_002_02_04.Manter_Termo_Adesao;Este caso de uso tem como objetivo cadastrar ou alterar termos de adesão.
UC_FIN_003_01_01.Pesquisar_Beneficio_Instituicao_Nivel;Este caso de uso tem como objetivo pesquisar as parametrizações de Benefício por Instituição Nível, permitindo também a exclusão.
UC_FIN_003_01_02.Manter_Beneficio_Instituicao_Nivel;Este caso de uso tem como objetivo cadastrar ou alterar as parâmetrizações de benefícios por Instituição Nível.
UC_FIN_003_01_03.Pesquisar_Valor_Auxilio_Beneficio;Este caso de uso tem como objetivo pesquisar os valores auxílio, permitindo também a exclusão.  
UC_FIN_003_01_04.Manter_Valor_Auxilio_Beneficio;Este caso de uso tem como objetivo cadastrar ou alterar valores auxílio.
UC_FIN_003_01_05.Pesquisar_Configuracao_Beneficio;Este caso de uso tem como objetivo pesquisar as configuraçãoes de benefício, permitindo também a exclusão.
UC_FIN_003_01_06.Manter_Configuracao_Beneficio;Este caso de uso tem como objetivo cadastrar ou alterar configurações de benefício.
UC_FIN_004_01_01.Emitir_Boleto_Aberto;Este caso de uso tem como objetivo possibilitar a emissão de boletos em aberto.
UC_FIN_004_02_01.Negociacao_Parcelas_Cartao;Este caso de uso tem como objetivo possibilitar o pagamento de parcelas em aberto com cartão de crédito ou débito.
UC_FIN_004_03_01.Termo_Concessao_Bolsa;Este caso de uso tem como objetivo a visualização dos contratos de adesão à benefícios de agência de fomento.
UC_FIN_004_03_02.Aderir_Termo_Concessao_Bolsa;Este caso de uso tem como objetivo possibilitar a adesão de benefícios de agência de fomento.
UC_FIN_004_04_01.Pesquisar_Declaracao_Pagamento;Esse caso de uso tem como objetivo a informação de parâmetros para emissão da declaração de pagamento no período.
UC_FIN_004_04_02.Exibir_Declaracao_Pagamento;Esse caso de uso tem como objetivo exibir o relatório da declaração de pagamento no período.
UC_FIN_004_05_01.Pesquisar_Declaracao_Quitacao_Anual;Esse caso de uso tem como objetivo a informação de parâmetros para emissão da declaração de quitação anual de débitos no período.
