UC;Descrição
UC_MAT_003_01_01.Pagina_Instrucoes_Iniciais;Este caso de uso tem como objetivo visualizar as instruções iniciais do processo de matrícula.
UC_MAT_003_04_01.Pagina_Visualizacao_Bloqueios_SGA_Aluno;Este caso de uso tem como objetivo exibir possíveis bloqueios da pessoa-atuação, que a impedem de realizar a matrícula.
UC_MAT_003_06_01.Pagina_Entrega_Documentos;Este caso de uso tem como objetivo anexar os documentos requeridos do ingressante ou aluno.
UC_MAT_003_08_01.Pagina_Selecao_Turmas_SGA_Aluno;Este caso de uso tem como objetivo exibir as turmas ofertadas no ciclo letivo em questão para que a pessoa-atuação possa selecionar as que pretende cursar.
UC_MAT_003_09_01.Selecionar_Turmas;Este caso de uso tem como objetivo exibir turmas para seleção.
UC_MAT_003_10_01.Selecionar_Atividades_Academicas;Este caso de uso tem como objetivo exibir atividades acadêmicas para seleção.
UC_MAT_003_12_01.Pagina_Condicoes_Pagamento;Este caso de uso tem como objetivo exibir possíveis condições de pagamento para um processo de matrícula.
UC_MAT_003_13_01.Pagina_Contrato_Prestacao_Servicos_Educacionais;Este caso de uso tem como objetivo exibir o contrato de prestação de serviços educacionais para a pessoa-atuação.
UC_MAT_003_15_01.Pagina_Registrar_Entrega_Documentos_Matricula;Este caso de uso tem como objetivo acionar a interface de registro de entrega de documentação para matrícula da pessoa-atuação em questão.
UC_MAT_003_16_01.Home_Portal_Ingressante;Este caso de uso tem como objetivo exibir a home do ingressante.
UC_MAT_003_16_02.Selecionar_Ingressante;Esse caso de uso tem como objetivo selecionar o ingressante.
UC_MAT_003_18_01.Pagina_Selecao_Turmas_SGA_Administrativo;Este caso de uso tem como objetivo exibir as turmas ofertadas no ciclo letivo em questão para que funcionário possa alterar o plano de estudos da pessoa atuação.
UC_MAT_003_18_02.Alterar_Divisoes_Turma;Este caso de uso tem como objetivo possibilitar a visualização de uma página para que a pessoa-atuaçaõ solicite alteração de grupo da turma da solicitação de serviço de matrícula.
