UC;Descrição
UC_ORG_001_01_01.Pesquisar_Mantenedora;Este caso de uso tem como objetivo pesquisar mantenedoras, permitindo também a exclusão.
UC_ORG_001_01_02.Manter_Mantenedora;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma mantenedora.
UC_ORG_001_02_01.Pesquisar_Instituicao_Ensino;Este caso de uso tem como objetivo consultar instituições de ensino, permitindo também a exclusão.
UC_ORG_001_02_02.Manter_Instituicao_Ensino;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma instituição de ensino.
UC_ORG_001_03_01.Pesquisar_Nivel_Ensino;Este caso de uso tem como objetivo consultar os níveis de ensino de forma hierárquica, permitindo também a exclusão e reordenação da hierarquia.
UC_ORG_001_03_02.Manter_Nivel_Ensino;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um nível de ensino.
UC_ORG_001_04_01.Manter_Tipo_Entidade;Este caso de uso tem como objetivo manter o cadastro de tipo de entidade, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão). É um cadastro dynamic.
UC_ORG_001_05_01.Pesquisar_Tipo_Hierarquia_Entidade;Este caso de uso tem como objetivo consultar tipos de hierarquia de entidades, permitindo também a exclusão.
UC_ORG_001_05_02.Manter_Tipo_Hierarquia_Entidade;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um tipo de hierarquia de entidade.
UC_ORG_001_05_03.Montar_Hierarquia_Tipo_Entidade;Este caso de uso tem como objetivo consultar a hierarquia de tipos de entidade, bem como adicionar ou excluir itens (tipos de entidade).
UC_ORG_001_05_04.Associar_Tipo_Entidade;Este caso de uso tem como objetivo possibilitar a seleção dos tipos de entidade, para associação na hierarquia de tipos de entidade.
UC_ORG_001_06_01.Pesquisar_Entidade;Este caso de uso tem como objetivo consultar entidades, permitindo também a exclusão.
UC_ORG_001_06_02.Manter_Entidade;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma entidade.
UC_ORG_001_07_01.Pesquisar_Hierarquia_Entidade;Este caso de uso tem como objetivo consultar as hierarquias de entidades, permitindo também a exclusão.
UC_ORG_001_07_02.Manter_Hierarquia_Entidade;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma hierarquia de entidades.
UC_ORG_001_07_03.Montar_Hierarquia_Entidade;Este caso de uso tem como objetivo consultar a árvore entidade de uma hierarquia de entidades, permitindo também a exclusão de itens da árvore.
