UC; Descrição
UC_ORT_001_01_01.Manter_Tipo_Orientacao;Este caso de uso tem como objetivo manter o cadastro de tipos de orientação, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_ORT_001_02_01.Pesquisar_Orientacao;Este caso de uso tem como objetivo consultar as orientações, permitindo também a exclusão.
UC_ORT_001_02_02.Manter_Orientacao;Este caso de uso tem como objetivo cadastrar ou alterar os dados de uma orientação.
UC_ORT_001_03_01.Pesquisar_Orientadores;Este caso de uso tem como objetivo pesquisar orientações.
UC_ORT_001_03_02.Exibir_Relatório_Orientadores;Este caso de uso tem como objetivo exibir relatório de orientadores e seus orientandos.
UC_ORT_002_01_01.Manter_Tipo_Trabalho;Este caso de uso tem como objetivo manter o cadastro de tipos de trabalho, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_ORT_002_02_01.Permitir_Incluir_Trabalho_Academico;O usuário que possuir permissão neste token poderá incluir um novo trabalho acadêmico.
UC_ORT_002_02_01.Pesquisar_Trabalho_Academico;Este caso de uso tem como objetivo consultar os trabalhos acadêmicos cadastrados, permitindo a exclusão.
UC_ORT_002_02_02.Manter_Trabalho_Academico;Este caso de uso tem como objetivo cadastrar ou alterar os dados de um trabalho acadêmico.
UC_ORT_002_02_02.Permite Alterar Resposta Potencial Registro;O usuário que possuir permissão neste token poderá alterar todos os campos referente as respostas do questionário de  potencial de registro.
UC_ORT_002_02_03.Pesquisar_Avaliacao_Trabalho_Academico;Este caso de uso tem como objetivo consultar as avaliações dos componentes curriculares de um trabalho acadêmico.
UC_ORT_002_02_04.Manter_Agendamento_Banca_Examinadora;Este caso de uso tem como objetivo cadastrar ou alterar o agendamento de banca examinado para o componente curricular de um trabalho acadêmico.
UC_ORT_002_02_05.Lancar_Nota_Banca_Examinadora;Este caso de uso tem como objetivo lançar nota para a banca examinadora dos componentes curriculares de um trabalho acadêmico.
UC_ORT_002_02_06.Emitir_Comprovante_Entrega;Esse caso de uso tem como objetivo exibir o relatório de comprovante de entrega do trabalho na secretaria.
UC_ORT_002_02_07.Emitir_Ata_Defesa;Esse caso de uso tem como objetivo exibir a ata de defesa gerada pelo sistema.
UC_ORT_002_02_08.Manter_Ata_de_Defesa;Caso de uso para pemitir anexar, assinar digitalmente e emitir atas de defesa.
UC_ORT_002_02_09.Manter_Autorizacao_Novo_Deposito;Esse caso de uso tem como objetivo incluir autorização para novo depósito para alunos que tiveram um trabalho defendido e cuja avaliação final foi  'REPROVADO'.
UC_ORT_003_01_01.Manter_Publicacao_Trabalho_Biblioteca;Este caso de uso tem como objetivo cadastrar, alterar e consultar os dados do trabalho de um aluno para publicação na biblioteca.
UC_ORT_003_01_02.Autorizar_Publicacao_Trabalho_Biblioteca;Este caso de uso tem como objetivo registrar a autorização para publicação do trabalho na biblioteca.
UC_ORT_003_01_03.Exibir_Relatorio_Autorizacao_Publicacao;Esse caso de uso tem como objetivo exibir o relatório de autorização da publicação do trabalho.
UC_ORT_003_02_01.Pesquisar_Trabalho_Academico_BDP;Este caso de uso tem como objetivo consultar os trabalhos que terão publicação no BDP.
UC_ORT_003_02_02.Liberar_Para_Biblioteca;Habilita o comando "Liberar para Conferência da Biblioteca".
UC_ORT_003_02_02.Liberar_Para_Consulta;Habilita o comando "Liberar para Consulta"e permite a alteração dos arquivos do trabalho após publicação
UC_ORT_003_02_02.Manter_Trabalho_Academico_BDP;Este caso de uso tem como objetivo  alterar os dados de um trabalho acadêmico publicado no BDP.
UC_ORT_003_02_03.Exibir_Relatorio_Autorizacao_Publicacao;Esse caso de uso tem como objetivo exibir o relatório de autorização da publicação do trabalho.
UC_ORT_003_02_04.Gerar_Ficha_Catalografica;Esse caso de uso tem como objetivo exibir as  informações para  emissão da ficha catalográfica da biblioteca para anexo ao trabalho acadêmico.
UC_ORT_003_02_05.Emitir_Ficha_Catalografica;Esse caso de uso tem como objetivo emitir a ficha catalográfica da biblioteca para anexo ao trabalho acadêmico.
UC_ORT_004_02_01.Manter_Tipo_Trabalho_Instituicao_Nivel;Este caso de uso tem como objetivo manter a parametrização de tipos de trabalho por Instituição Nível, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_ORT_004_03_01.Pesquisar_Numeracao_Trabalho;Este caso de uso tem como objetivo pesquisar a parametrização da numeração de trabalho por Entidade X Curso Oferta Localidade.
UC_ORT_004_03_02.Manter_Numeracao_Trabalho;Este caso de uso tem como objetivo manter a parametrização da numeração de trabalho por Entidade X Curso Oferta Localidade.
