UC; Descrição
UC_SRC_001_01_01.Pesquisar_Servico;Esse caso de uso tem como objetivo a pesquisa de serviços, permitindo também a exclusão de um serviço.
UC_SRC_001_01_02.Manter_Servico;Este caso de uso tem como objetivo a manutenção (inclusão/alteração) de serviços
UC_SRC_001_02_01.Manter_Tipo_Servico;Este caso de uso tem como objetivo manter o cadastro de tipos de serviço, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão). É um cadastro dynamic.    
UC_SRC_002_01_01.Encerrar_Etapa;Permite a execução da funcionalidade de encerramento de etapa
UC_SRC_002_01_01.Encerrar_Processo;Permite a execução da funcionalidade de encerramento de processo
UC_SRC_002_01_01.Manter_Processo_Permitido_Usuarios;Permite a manutenção dos processos do respectivo Serviço aos demais usuários
UC_SRC_002_01_01.Manter_Processo_Restrito_Administrador;Permite a manutenção dos processos do respectivo Serviço apenas a usuários administradores
UC_SRC_002_01_01.Pesquisar_Processos;Este caso de uso tem como objetivo pesquisar e listar os processos.
UC_SRC_002_01_01.Preparar_Renovacao_Matricula;Permite a execução de JOB para preparação da renovação de matrícula
UC_SRC_002_01_01.Reabrir_Processo;Permite a execução da funcionalidade de reabertura de processo (exclui a data de encerramento)
UC_SRC_002_01_02.Manter_Processo;Este caso de uso tem como objetivo visualizar os dados de um processo.
UC_SRC_002_01_03.Manter_Etapa_Processo;Este caso de uso tem como objetivo alterar os dados de uma determinada etapa.
UC_SRC_002_01_04.Copiar_Processo;Este caso de uso tem como objetivo copiar um processo e suas configurações.
UC_SRC_002_02_01.Pesquisar_Configuracao_Processo;Este caso de  uso tem como objetivo a pesquisa de configurações de um processo, permitindo também sua exclusão.
UC_SRC_002_02_02.Manter_Configuracao_Processo;Este caso de uso tem como objetivo a manutenção (inclusão/alteração) de configuração de processo.
UC_SRC_002_04_01.Pesquisar_Configuracao_Etapa;Este caso de uso tem como objetivo a pesquisa de configurações de etapas de um processo, permitindo também sua exclusão.
UC_SRC_002_04_02.Manter_Configuracao_Etapa;Este caso de uso tem como objetivo a manutenção (inclusão/alteração) de configuração de etapa.
UC_SRC_002_04_03.Configurar_Etapa_Fluxo_Paginas;Este caso de uso tem como objetivo a configuração do fluxo de páginas de uma etapa.
UC_SRC_002_04_04.Configurar_Etapa_Associar_Pagina_Template;Este caso de uso tem como objetivo adicionar uma página a um template de processo.
UC_SRC_002_04_05.Configurar_Etapa_Pagina_Texto;Este caso de uso tem como objetivo a configuração de sessões de texto de uma página do fluxo.
