UC; Descrição
UC_TUR_001_01_01.Pesquisar_Turma;Este caso de uso tem como objetivo pesquisar as turmas, permitindo também a alteração e exclusão.
UC_TUR_001_01_02.Manter_Turma;Este caso de uso tem como objetivo cadastrar uma turma, seja uma nova turma, um turma proveniente de desdobramento ou uma cópia de turma.
UC_TUR_001_01_02.Permite_Alterar_Periodo_Letivo_Turma;<font color="#000080">O usuário que possuir permissão neste token poderá alterar o perído letivo da turma.
UC_TUR_001_01_03.Reabrir_Diario;Este caso de uso tem como objetivo reabrir o diário de uma turma.
UC_TUR_001_01_04.Cancelar_Turma;Este caso de uso tem como objetivo cancelar uma turma.
UC_TUR_001_02_01.Pesquisar_Associacao_Professor_Turma;Este caso de uso tem como objetivo pesquisar as associações de professores à turma, permitindo também a exclusão.
UC_TUR_001_02_02.Associar_Professor_Divisao_Turma;Este caso de uso tem como objetivo associar ou alterar associação de um ou mais colaboradores à divisões de turma.
UC_TUR_001_02_03.Associar_Professor_Resposavel_Turma;Este caso de uso tem como objetivo associar ou alterar associação de um ou mais colaboradores como responsável de uma turma.
UC_TUR_001_03_01.Manter_Tipo_Turma;Este caso de uso tem como objetivo manter o cadastro de tipo de turma, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
UC_TUR_001_04_01.Pesquisar_Turma;Este caso de uso tem como objetivo realizar o filtro para relatório de turmas.
UC_TUR_001_04_02.Exibir_Relatorio_Turmas_Ciclo_Letivo;Este caso de uso tem como objetivo exibir o relatório de turmas por ciclo letivo.
UC_TUR_001_05_01.Visualizar_Detalhes_Compartilhamento_Turma;Este caso de uso tem como objetivo visualizar os detalhes do compartilhamento de turma.
UC_TUR_001_06_01.Visualizar_Detalhes_Divisao_Turma;Este caso de uso tem como objetivo visualizar os detalhes de divisão de turma.
UC_TUR_001_07_01.Pesquisar_Orientacao_Turma;Esse caso de uso tem como objetivo listar as orientações de uma turma.
UC_TUR_001_07_02.Manter_Orientacao_Turma;Esse caso de uso tem como objetivo manter a orientação de uma turma.
UC_TUR_001_08_01.Alterar_Configuracao_Turma;Esse caso de uso tem como objetivo manter as configurações de turma ou divisão de turma  
UC_TUR_002_01_01.Manter_Tipo_Turma_Instituicaoo_Nivel;Este caso de uso tem como objetivo manter o cadastro de parâmetro de tipo de turma por Instituição e Nível de Ensino, permitindo todas as funcionalidades de um CRUD básico (consulta, cadastro, alteração e exclusão)    É um cadastro dynamic.
